729272;-745739;-1040268
729302;-745677;-1041981
729353;-748091;-1041783
729418;-748129;-1040871
729582;-747241;-1042920
729701;-751144;-1043817
729710;-752597;-1040661
729795;-749957;-1041279
729876;-749259;-1039465
729931;-745893;-1038539
729981;-745436;-1036946
730041;-744257;-1037948
730106;-743246;-1040716
750573;-749204;-1048847
750590;-749005;-1050239
762130;-737514;-1052714
770353;-753129;-1046414
773395;-729002;-1048911
773417;-732448;-1051939
773425;-730787;-1050432
773778;-725094;-1046389
773999;-735509;-1051773
782378;-731114;-1038381
791733;-747175;-1055821
793256;-754271;-1044170
793264;-752717;-1044366
728233;-735775;-1050085
728314;-739574;-1051871
728390;-741299;-1052060
728438;-742709;-1051234
728519;-745416;-1054285
728616;-744185;-1052221
728641;-745552;-1046489
728730;-747554;-1046708
728764;-746946;-1044883
728837;-746276;-1048338
728951;-748960;-1044231
729051;-745023;-1044853
729183;-746078;-1049714
729213;-746813;-1051171
601527;-729012;-1045587
602582;-731030;-1052945
614131;-737262;-1035015
629952;-731053;-1044445
633330;-731014;-1047211
643777;-728295;-1042359
652393;-742547;-1054440
652407;-744303;-1055505
665444;-725474;-1044630
668591;-729192;-1053454
668605;-730165;-1054458
672629;-727775;-1050722
730394;-741356;-1037046
730475;-739376;-1038765
730190;-742320;-1039295
730556;-742475;-1037599
730599;-739973;-1036498
730629;-737508;-1036865
730866;-737458;-1039046
730891;-738868;-1040748
730955;-740224;-1042474
731226;-733261;-1042937
731234;-734255;-1042033
731285;-736294;-1041437
731382;-736897;-1040117
731439;-735427;-1038561
731528;-734721;-1035270
731552;-732883;-1036481
731561;-734607;-1037091
731641;-733356;-1039523
731676;-731793;-1042622
731722;-732704;-1044089
745251;-751421;-1048225
731765;-736230;-1043241
745278;-751691;-1051233
731943;-737478;-1045489
732052;-735634;-1047921
732117;-738328;-1047624
732257;-740164;-1045610
732451;-736080;-1044502
732516;-733948;-1045758
732541;-733271;-1047568
732583;-733658;-1049010
732613;-733908;-1050185
734373;-750728;-1038446
738620;-749172;-1053132
746134;-730972;-1040323
676071;-733749;-1051681
683973;-749502;-1056325
686425;-748846;-1051829
702323;-727427;-1052960
720984;-740805;-1053873
727008;-742998;-1042733
728161;-742140;-1046355
728225;-738092;-1049851
727024;-742976;-1043008
727091;-744048;-1042980
727121;-744551;-1042436
727164;-740952;-1044655
727181;-742656;-1043956
727300;-743334;-1045455
727415;-739411;-1043526
727598;-741754;-1049223
727750;-740407;-1047583
727857;-744620;-1050077
727873;-743724;-1049001
728071;-742233;-1050494
728152;-743268;-1047032
730122;-741336;-1041515
755541;-750248;-1046348
668508;-727850;-1047639
729248;-746129;-1053029
690627;-657258;-1088427
690635;-657171;-1090987
690643;-656596;-1089505
690651;-658112;-1089736
690660;-655168;-1089909
618756;-484930;-1101509
675890;-548574;-1152475
705896;-677500;-1085147
636274;-530995;-1135795
710296;-668547;-1098082
716219;-553571;-1055544
716227;-555743;-1051458
738361;-669211;-1100409
695521;-573354;-1095737
695530;-575508;-1095761
695548;-574322;-1097249
742392;-661861;-1098880
743909;-669684;-1088362
746282;-676918;-1090954
643297;-485983;-1098474
706183;-522221;-1075372
720101;-671904;-1118816
750999;-665579;-1117394
751006;-665566;-1115464
764043;-669435;-1116439
764051;-668143;-1119197
767042;-671983;-1092772
767051;-672123;-1095162
655627;-671801;-1116964
774766;-673904;-1116576
783994;-681478;-1092629
600610;-658312;-1041763
642673;-744991;-1143416
628824;-744365;-1145378
628841;-744633;-1147951
628867;-743019;-1146984
631841;-747783;-1148082
763772;-747595;-1144954
628859;-746606;-1147050
631400;-755485;-1175673
690040;-490495;-1148753
670049;-752328;-1146738
670057;-753567;-1145422
670065;-753579;-1148789
670073;-750979;-1148918
670081;-753267;-1151953
659452;-756314;-1146809
639583;-758417;-1160359
639605;-757022;-1154823
639613;-759467;-1154982
736791;-755388;-1148835
648001;-755609;-1160618
631124;-760189;-1132664
646032;-759628;-1134960
654043;-759318;-1131089
654051;-757410;-1130239
654060;-756316;-1131993
761729;-686212;-988199
660141;-738935;-1178508
667773;-736985;-1172962
667781;-737409;-1176269
667790;-735297;-1176209
761940;-735271;-1178774
783251;-739412;-1175842
733083;-499269;-1164670
740560;-758944;-998929
766470;-755050;-993649
622591;-751928;-993892
622583;-753748;-992677
706337;-757143;-994080
692671;-769958;-989950
692689;-773020;-991894
692697;-770567;-990853
692701;-771382;-991860
769584;-768537;-995772
769592;-768469;-994146
769606;-767125;-996256
783471;-767507;-993012
770558;-747806;-984997
770566;-748002;-983849
770574;-748711;-985948
770582;-751233;-983025
770591;-749829;-984113
774669;-764209;-998197
607711;-608907;-1026416
612766;-601110;-1004422
612782;-599767;-1004858
612812;-599291;-1001049
612821;-598212;-1002671
613436;-629211;-1017431
613452;-628812;-1015231
613479;-630324;-1017947
620068;-620588;-1030918
621269;-610620;-1025340
740276;-705619;-1138394
616621;-683391;-1115970
700576;-683699;-1119434
754129;-683982;-1117621
706868;-710172;-979851
797138;-687530;-1119974
718360;-693674;-1126725
625370;-690616;-1117672
625388;-690485;-1115859
625396;-689488;-1117409
625400;-691601;-1116401
626996;-692432;-1131195
627011;-692594;-1133465
725269;-724019;-966839
733865;-721781;-985594
753114;-724569;-983764
778371;-707403;-1109311
778362;-705812;-1112006
676900;-767262;-1111108
756466;-707189;-979724
757306;-733190;-976865
757314;-730184;-978881
